"AgeGroup","Parameter","Mean","2.5%","97.5%","n.sample","% accept","n.effective","Geweke.diag","AgeLabel"
9,"rho.int",0.9352,0.8787,0.9791,50000,45.2,6521.9,-0.9,"40–44"
9,"rho.slo",0.9587,0.8819,0.995,50000,42.3,465.4,0.1,"40–44"
10,"(Intercept)",-5.3271,-5.3724,-5.283,50000,39.3,3509.2,-0.1,"45–49"
10,"dep_rate",0.2624,0.1444,0.3815,50000,39.3,3709,-0.4,"45–49"
10,"alpha",-0.1465,-0.169,-0.1241,50000,38.8,1672.4,-1.1,"45–49"
10,"tau2.int",0.3414,0.3141,0.3707,50000,100,4981.6,1.4,"45–49"
10,"tau2.slo",0.0618,0.0416,0.0876,50000,100,143.6,0.1,"45–49"
10,"rho.int",0.9564,0.9131,0.9887,50000,41.7,8937.4,1.1,"45–49"
10,"rho.slo",0.9273,0.8055,0.9884,50000,46.1,348.7,-0.5,"45–49"
11,"(Intercept)",-4.9685,-5.0079,-4.9293,50000,29.2,2669,-1.5,"50–54"
11,"dep_rate",0.3235,0.2237,0.4231,50000,29.2,2953.1,1.3,"50–54"
11,"alpha",-0.1813,-0.1997,-0.1626,50000,39.7,1501.9,1.2,"50–54"
11,"tau2.int",0.2703,0.2494,0.2926,50000,100,5390.8,-0.1,"50–54"
11,"tau2.slo",0.0381,0.0262,0.0536,50000,100,151.9,0.1,"50–54"
11,"rho.int",0.9691,0.9351,0.9937,50000,44.9,10044.6,-0.3,"50–54"
11,"rho.slo",0.9468,0.8686,0.9908,50000,40.6,575.1,-1.1,"50–54"
12,"(Intercept)",-4.5513,-4.5807,-4.5219,50000,51.1,3945.9,-1,"55–59"
12,"dep_rate",0.2185,0.1401,0.2958,50000,51.1,3996.4,1.1,"55–59"
12,"alpha",-0.2738,-0.2894,-0.2584,50000,31.6,1667.1,0,"55–59"
12,"tau2.int",0.2838,0.2636,0.3049,50000,100,6891.5,-0.1,"55–59"
12,"tau2.slo",0.0405,0.03,0.0536,50000,100,233.8,0.6,"55–59"
12,"rho.int",0.9735,0.942,0.9952,50000,36.6,9240.6,2,"55–59"
12,"rho.slo",0.9458,0.8647,0.9902,50000,44,771.5,-1.5,"55–59"
13,"(Intercept)",-4.095,-4.1229,-4.0656,50000,35.2,3550.7,0.7,"60–64"
13,"dep_rate",0.1012,0.0291,0.1712,50000,35.2,3384.4,-0.6,"60–64"
13,"alpha",-0.229,-0.2425,-0.2154,50000,35.3,1301.2,-2.8,"60–64"
13,"tau2.int",0.2496,0.2325,0.2675,50000,100,8081,-0.6,"60–64"
13,"tau2.slo",0.0486,0.0361,0.0632,50000,100,262.1,0.2,"60–64"
13,"rho.int",0.9742,0.9436,0.9952,50000,45,10867.6,-0.8,"60–64"
13,"rho.slo",0.9364,0.8543,0.9867,50000,40.4,869.7,-1,"60–64"
14,"(Intercept)",-3.747,-3.7715,-3.7228,50000,43.6,4375.9,-0.5,"65–69"
14,"dep_rate",0.1236,0.0588,0.1871,50000,43.6,4035.2,0.5,"65–69"
14,"alpha",-0.14,-0.1525,-0.1275,50000,34.8,1556.9,0.8,"65–69"
14,"tau2.int",0.2079,0.1939,0.2229,50000,100,7875.8,1,"65–69"
14,"tau2.slo",0.0436,0.0333,0.0548,50000,100,305.4,0.1,"65–69"
14,"rho.int",0.9666,0.9306,0.9925,50000,42.7,10093.1,0.5,"65–69"
14,"rho.slo",0.949,0.879,0.9906,50000,42.8,1041.8,-1.1,"65–69"
15,"(Intercept)",-3.3276,-3.3513,-3.3043,50000,39.1,4211.2,2,"70–74"
15,"dep_rate",0.0913,0.0325,0.1515,50000,39.1,3985.3,-1.9,"70–74"
15,"alpha",-0.2426,-0.2543,-0.2307,50000,32.7,1846,1.8,"70–74"
15,"tau2.int",0.2064,0.191,0.2223,50000,100,7849.6,3.2,"70–74"
15,"tau2.slo",0.0485,0.0371,0.061,50000,100,333,0.9,"70–74"
15,"rho.int",0.9171,0.8555,0.9678,50000,45.6,6617.5,0,"70–74"
