"AgeGroup","Parameter","Mean","2.5%","97.5%","n.sample","% accept","n.effective","Geweke.diag","AgeLabel"
9,"tau2.slo",0.0392,0.0171,0.0715,50000,100,36,-0.5,"40–44"
9,"rho.int",0.9629,0.9216,0.992,50000,43.7,7275.1,0.7,"40–44"
9,"rho.slo",0.9226,0.6462,0.9965,50000,51.2,69.8,-1.1,"40–44"
10,"(Intercept)",-5.8748,-5.927,-5.8211,50000,41.1,4182.2,-2.3,"45–49"
10,"dep_rate",0.4524,0.3094,0.5926,50000,41.1,4547.6,2.1,"45–49"
10,"alpha",-0.1716,-0.1967,-0.1465,50000,34.2,1628.6,1.4,"45–49"
10,"tau2.int",0.3407,0.3099,0.3738,50000,100,3197,-0.8,"45–49"
10,"tau2.slo",0.0232,0.0027,0.0533,50000,100,18.6,0.1,"45–49"
10,"rho.int",0.9711,0.9366,0.9947,50000,45.1,8678.8,-0.5,"45–49"
10,"rho.slo",0.8279,0.3391,0.9898,50000,43.1,46.7,1.8,"45–49"
11,"(Intercept)",-5.4741,-5.519,-5.4292,50000,35.6,3595.1,1.1,"50–54"
11,"dep_rate",0.3954,0.2744,0.5147,50000,35.6,3810.5,-1.1,"50–54"
11,"alpha",-0.1514,-0.1738,-0.1292,50000,34.1,1369.8,0.9,"50–54"
11,"tau2.int",0.2749,0.2513,0.3003,50000,100,3851.8,1.4,"50–54"
11,"tau2.slo",0.0372,0.0194,0.061,50000,100,63.4,-0.4,"50–54"
11,"rho.int",0.9817,0.9569,0.9974,50000,51,9324.9,-1.1,"50–54"
11,"rho.slo",0.9056,0.7428,0.9883,50000,40.4,281.5,1,"50–54"
12,"(Intercept)",-5.0429,-5.0821,-5.0041,50000,20.4,1868.6,0.3,"55–59"
12,"dep_rate",0.2894,0.1875,0.3904,50000,20.4,2177,-0.7,"55–59"
12,"alpha",-0.2168,-0.2356,-0.1982,50000,35.5,1457.8,-2.6,"55–59"
12,"tau2.int",0.2846,0.2625,0.3083,50000,100,5302.6,0,"55–59"
12,"tau2.slo",0.042,0.028,0.0614,50000,100,130.3,0,"55–59"
12,"rho.int",0.9769,0.9477,0.9961,50000,44.3,9842.6,2.9,"55–59"
12,"rho.slo",0.936,0.826,0.9904,50000,45.9,419.4,0.7,"55–59"
13,"(Intercept)",-4.5951,-4.6273,-4.5636,50000,31.9,3277.2,0.6,"60–64"
13,"dep_rate",0.1793,0.0969,0.2621,50000,31.9,3404.3,-0.6,"60–64"
13,"alpha",-0.1564,-0.1721,-0.1404,50000,37.5,1577.7,-1,"60–64"
13,"tau2.int",0.2245,0.2079,0.2423,50000,100,5829.3,1.2,"60–64"
13,"tau2.slo",0.0387,0.0258,0.0532,50000,100,156.6,-2,"60–64"
13,"rho.int",0.9821,0.9574,0.9974,50000,42,9401.2,1.2,"60–64"
13,"rho.slo",0.9291,0.8238,0.9875,50000,47,531.2,0.7,"60–64"
14,"(Intercept)",-4.2098,-4.2376,-4.1821,50000,43.7,3735.4,1.3,"65–69"
14,"dep_rate",0.1386,0.0655,0.2115,50000,43.7,3984,-1.3,"65–69"
14,"alpha",-0.075,-0.0896,-0.0603,50000,34.8,1754.1,-1.3,"65–69"
14,"tau2.int",0.2014,0.1867,0.2173,50000,100,6029.7,-0.6,"65–69"
14,"tau2.slo",0.0423,0.0311,0.0553,50000,100,246.7,1.5,"65–69"
14,"rho.int",0.9762,0.9461,0.9959,50000,43.8,9883.3,0.1,"65–69"
14,"rho.slo",0.9497,0.8778,0.9909,50000,44,840,0.3,"65–69"
15,"(Intercept)",-3.7584,-3.7844,-3.7321,50000,37.6,3797.1,1.1,"70–74"
15,"dep_rate",0.1642,0.0964,0.2313,50000,37.6,3616.5,-0.7,"70–74"
15,"alpha",-0.1907,-0.2031,-0.1781,50000,33,2135,0.8,"70–74"
15,"tau2.int",0.1799,0.1665,0.1942,50000,100,6469,-0.3,"70–74"
15,"tau2.slo",0.0356,0.0258,0.0468,50000,100,231.9,-0.8,"70–74"
15,"rho.int",0.9432,0.8935,0.9825,50000,40.9,8221.4,1.7,"70–74"
15,"rho.slo",0.8412,0.6719,0.9523,50000,41.8,414.3,0.6,"70–74"
16,"(Intercept)",-3.2248,-3.2512,-3.1972,50000,26.2,1951.6,-1.3,"75–79"
16,"dep_rate",0.0911,0.0247,0.1574,50000,26.2,2318.9,1.1,"75–79"
16,"alpha",-0.0821,-0.0944,-0.0702,50000,32.1,2183.4,0.4,"75–79"
16,"tau2.int",0.1726,0.1585,0.1873,50000,100,6089.5,-0.7,"75–79"
16,"tau2.slo",0.0476,0.0352,0.062,50000,100,237.8,1,"75–79"
16,"rho.int",0.8917,0.819,0.9532,50000,43.9,5262.8,0,"75–79"
16,"rho.slo",0.8561,0.6929,0.9604,50000,44.5,465.9,-1,"75–79"
17,"(Intercept)",-2.6848,-2.7137,-2.6558,50000,25.7,1776.4,0,"80–84"
17,"dep_rate",0.0308,-0.0392,0.1005,50000,25.7,1945.8,0.1,"80–84"
17,"alpha",-0.0746,-0.0874,-0.0619,50000,35.4,2989.4,0.8,"80–84"
17,"tau2.int",0.1962,0.1738,0.22,50000,100,2203.1,0,"80–84"
17,"tau2.slo",0.1043,0.0841,0.1274,50000,100,746.6,-1.6,"80–84"
17,"rho.int",0.6213,0.5196,0.7266,50000,50.3,1612.3,0.2,"80–84"
17,"rho.slo",0.6005,0.3939,0.7923,50000,49.9,293.2,-1.4,"80–84"
18,"(Intercept)",-1.7568,-1.775,-1.7386,50000,55.5,3055.2,-2,"85+"
18,"dep_rate",0.0064,-0.0412,0.0539,50000,55.5,2696.9,1.9,"85+"
18,"alpha",-0.1843,-0.1937,-0.1751,50000,35.7,4370.1,0.5,"85+"
18,"tau2.int",0.108,0.0946,0.1233,50000,100,1580,-0.7,"85+"
18,"tau2.slo",0.1124,0.0898,0.1383,50000,100,666,1.7,"85+"
18,"rho.int",0.1296,0.0886,0.1779,50000,47.3,1332.6,-0.7,"85+"
18,"rho.slo",0.2153,0.1229,0.3258,50000,38,405.2,0.9,"85+"
